Sho to Elb (L),Elb to Wrist (L), Sho to Hip (L),Hip to Knee (L),Knee to Ankle (L),Ankle to Heel (L), Heel to Foot (L),Sho to Elb (R),Elb to Wrist (R), Sho to Hip (R),Hip to Knee (R),Knee to Ankle (R),Ankle to Heel (R), Heel to Foot (R),Track ID,GT_Cluster
48.058,37.425,65.626,55.114,55.817,13.187,42.835,40.612,33.936,87.542,53.531,53.85,8.634,49.227,268,8
46.348,39.392,67.755,53.53,58.89,10.782,43.573,40.248,35.732,88.093,53.897,60.963,8.05,51.675,268,8
50.205,38.893,67.011,54.335,59.796,0,0,41.379,34.049,96.379,52.695,60.895,0,0,268,8
52.885,36.699,70.903,54.202,62.584,9.059,46.069,44.627,33.513,105.768,56.661,65.053,7.24,55.087,268,8
48.857,39.664,69.405,64.186,0,0,47.147,45.507,37.171,95.547,55.965,61.103,0,0,268,8
49.775,31.599,78.443,53.612,72.517,9.673,31.412,47.344,47.754,88.243,58.114,60.451,4.768,48.256,677,13
0,0,76.526,63.111,68.27,10.009,44.599,50.082,38.108,102.263,57.843,74.995,0,0,268,8
35.33,0,56.417,51.551,0,0,0,51.11,74.643,58.233,0,0,0,0,421,9
38.726,0,75.302,48.89,0,0,0,46.081,46.192,95.334,48.211,0,0,0,677,13
0,0,85.83,57.475,104.361,12.733,59.572,54.609,37.125,128.255,60.5,108.602,6.223,70.751,268,8
0,0,57.214,0,0,6.876,24.102,32.757,24.522,78.777,40.532,54.557,6.183,28.453,421,9
22.155,23.944,50.255,0,0,0,0,22.611,22.463,45.652,39.645,48.71,0,0,894,16
26.445,30.168,54.224,42.351,42.848,4.471,40.427,25.302,26.205,60.986,33.993,57.866,5.453,35.189,894,15
25.217,23.452,61.477,41.625,48.732,0,0,24.951,23.508,70.627,35.117,60.34,0,0,894,15
28.881,24.372,62.935,77.224,41.711,1.584,41.481,27.751,23.399,65.164,37.279,77.91,0,0,894,15
33.424,23.763,54.88,49.155,39.685,5.904,33.915,28.674,23.738,56.977,41.528,77.287,0,0,894,15
31.4,30.231,59.361,50.37,55.214,4.405,43.797,26.545,33.942,59.517,38.246,88.628,0,0,894,15
14.381,14.647,25.399,19.4,25.525,2.424,0,14.955,14.12,26.63,0,0,2.728,0,784,1
39.304,40.091,78.492,55.696,62.827,5.352,50.48,45.666,37.438,71.984,56.723,64.657,7.445,45.52,894,15
44.164,40.236,89.983,62.148,62.499,0,0,49.353,38.599,82.23,60.047,63.201,0,0,894,15
43.401,47.61,96.133,70.26,72.621,0,0,56.419,44.862,86.814,0,0,0,0,894,15
48.751,61.942,102.024,87.322,77.457,10.246,62.021,56.396,58.363,96.848,0,0,0,0,894,15
15.649,0,28.273,21.569,23.489,3.505,12.257,0,0,29.431,0,0,4.003,0,784,1
59.53,55.484,118.438,104.166,0,0,0,0,0,109.267,0,0,0,0,894,15
0,0,34.273,21.54,25.397,3.672,15.979,0,0,35.029,22.084,26.024,4.006,0,837,14
34.466,40.046,84.305,44.703,88.635,0,0,38.257,41.987,79.627,46.392,74.447,7.089,46.647,991,16
18.625,31.275,47.948,26.72,60.088,4.349,28.878,21.65,32.853,40.841,27.579,54.449,4.503,30.27,975,2
18.717,0,38.233,44.237,0,0,0,17.591,40.311,37.345,32.561,49.755,0,0,975,2
0,0,118.537,93.328,91.42,13.842,32.75,0,0,125.891,94.816,107.81,13.266,46.161,1058,4
0,0,114.958,92.631,97.137,16.944,43.019,0,0,118.608,106.777,99.591,19.373,40.209,1058,4
0,0,117.347,90.034,95.814,15.899,38.454,0,0,118.919,107.732,100.338,17.892,33.145,1058,4
0,0,112.801,87.776,83.488,17.339,45.764,86.885,0,120.106,99.617,90.086,16.345,46.62,1058,4
0,0,112.797,0,0,20.362,37.482,73.681,0,126.6,95.316,93.221,14.135,50.218,1058,4
0,0,59.465,0,0,0,0,33.459,25.104,68.263,0,0,0,0,975,2
0,0,114.936,0,0,0,0,0,0,122.845,96.802,93.538,15.207,37.873,1058,4
54.416,68.787,46.897,68.429,62.605,7.053,34.533,41.158,75.701,43.358,69.755,60.27,7.175,36.797,975,2
0,0,110.712,0,0,10.811,25.291,74.702,0,126.068,83.734,87.702,13.083,43.55,1058,4
35.907,0,70.02,46.411,0,0,0,36.954,37.893,66.019,46.335,61.053,0,0,975,2
0,0,116.28,86.465,82.631,10.021,13.421,74.18,0,128.566,99.215,86.568,19.529,28.042,1058,4
33.396,0,72.615,50.688,0,0,0,0,0,66.558,52.086,72.004,0,0,975,2
0,0,105.345,94.055,87.289,9.133,23.315,62.438,75.581,124.886,92.39,87.721,16.843,42.349,1058,4
40.51,0,99.419,52.503,85.616,0,0,0,0,83.763,51.339,71.725,7.557,50.616,975,2
0,0,108.292,0,0,10.671,20.897,66.311,0,122.658,90.863,90.543,18.426,45.789,1058,4
46.068,0,134.795,56.791,127.048,0,0,60.492,0,108.646,59.292,116.557,10.846,53.931,975,2
0,0,120.73,93.581,91.39,15.584,40.71,0,0,123.715,94.806,93.12,19.264,57.354,1058,4
50.053,43.767,141.32,67.938,167.699,13.979,52.791,48.232,102.485,115.587,66.323,129.206,12.83,61.058,975,2
0,0,116.349,0,0,15.372,33.236,75.967,0,123.425,86.605,91.63,15.256,31.801,1058,4
55.505,0,139.679,70.924,158.047,13.481,51.525,60.797,42.194,113.003,67.274,132.813,13.071,59.004,975,2
38.928,36.103,103.677,58.387,60.792,0,0,45.652,46.942,83.83,51.749,61.483,0,0,1066,17
58.45,0,110.438,62.61,0,0,0,65.589,0,107.791,57.082,112.066,0,0,975,2
41.842,39.515,114.002,65.683,64.461,7.785,50.936,47.906,48.727,99.854,51.581,74.351,8.723,37.58,1066,17
54.429,0,91.904,62.931,84.237,8.372,43.126,47.481,64.258,92.384,57.864,94.006,4.514,52.834,975,2
45.452,49.129,132.307,124.055,74.666,8.068,68.436,51.39,56.453,115.419,50.196,88.604,10.319,47.036,1066,17
65.108,95.227,100.743,69.71,130.972,0,0,58.826,102.612,103.53,68.973,113.204,9.933,63.33,975,2
0,0,112.459,88.086,101.958,16.719,22.63,0,0,128.204,121.626,91.398,17.092,19.834,1058,4
0,0,112.862,87.635,88.622,18.03,22.938,0,0,124.872,110.639,89.34,15.945,21.618,1058,4
0,0,110.238,94.21,97.888,13.488,23.85,0,0,116.4,98.747,101.817,9.696,34.063,1058,4
0,0,110.942,92.226,102.754,16.619,0,0,0,114.096,98.22,107.815,8.641,0,1058,4
0,0,98.437,96.369,90.215,12.972,0,62.778,0,105.693,86.066,97.708,0,0,1058,4
0,0,113.787,86.375,102.907,9.543,0,0,0,116.478,89.358,111.663,12.866,0,1058,4
0,0,118.406,84.329,0,0,0,0,0,111.163,0,0,0,0,1058,4
0,0,111.987,95.564,87.709,12.011,21.371,0,0,117.391,95.518,88.112,13.033,31.936,1058,4
0,0,117.096,86.748,151.741,12.503,66.974,0,0,112.991,88.307,156.919,13.299,69.37,1058,4
0,0,126.148,88.553,164.377,12.873,76.601,0,0,114.399,87.688,154.624,11.646,87.415,1058,4
0,0,112.598,91.711,94.412,12.329,0,0,0,115.318,91.143,96.094,14.414,0,1058,4
0,0,105.139,91.566,88.064,15.28,0,0,0,107.062,93.577,89.488,15.952,0,1058,4
0,0,114.021,93.808,88.029,14.541,14.821,55.481,0,114.241,89.577,90.483,8.282,0,1058,4
0,0,116.386,94.394,98.983,15.413,25.875,28.242,0,118.718,96.528,96.231,4.826,0,1058,4
0,0,112.959,92.555,91.55,10.979,17.599,27.119,0,121.016,91.384,96.662,5.878,0,1058,4
55.407,0,112.87,100.096,83.659,17.13,29.995,0,0,124.808,99.486,95.48,5.353,29.805,1058,4
0,0,111.173,93.609,85.574,18.257,0,0,0,114.478,0,0,0,0,1058,4
60.096,0,110.484,91.384,87.375,10.352,19.667,0,0,125.327,91.825,90.544,5.57,25.447,1058,4
62.723,0,114.248,93.414,91.815,14.155,24.236,0,0,119.149,0,0,0,0,1058,4
0,0,114.978,92.17,86.985,13.838,15.409,0,0,116.418,91.315,0,0,0,1058,4
0,0,113.689,101.532,94.151,16.999,21.919,0,0,122.732,92.507,95.615,3.608,22.591,1058,4
25.969,31.241,54.188,43.517,0,0,0,33.697,0,53.161,0,0,0,0,1190,18
25.492,0,51.763,0,0,0,0,32.071,0,54.226,0,0,0,0,1190,18
0,0,59.058,40.987,39.423,6.21,8.969,32.668,0,57.276,37.49,42.895,7.178,11.547,1190,18
24.718,24.063,46.28,28.376,0,0,0,23.6,20.49,48.01,28.014,28.735,0,0,1190,18
27.872,48.055,86.078,37.364,0,0,0,29.429,54.165,87.594,0,0,0,0,1190,18
0,0,44.475,31.749,41.349,0,0,0,0,44.729,34.948,40.805,0,0,1190,18
34.905,47.985,42.828,33.796,35.597,3.686,27.079,21.142,17.365,45.694,34.389,36.36,0,0,1190,18
18.022,0,32.003,30.62,0,0,0,18.149,19.396,31.46,0,0,0,0,1058,4
20.601,24.654,39.044,0,0,0,0,21.969,18.814,41.946,0,0,0,0,1190,18
19.174,0,40.365,30.573,40.276,0,0,21.126,24.203,38.725,30.052,42.411,0,0,1058,4
20.081,26.638,39.063,35.458,38.467,0,0,20.733,20.415,41.181,33.841,37.995,0,0,1190,18
20.512,20.737,45.046,22.79,0,0,0,21.023,21.194,50.411,24.413,36.357,0,0,1190,18
20.846,26.199,51.125,36.041,50.936,0,0,21.912,28.699,50.655,30.432,60.922,6.159,28.502,1058,4
26.278,26.13,55.176,36.525,42.938,0,0,24.936,27.709,59.823,33.526,54.552,0,0,1058,4
22.881,24.889,42.363,34.28,55.767,0,0,28.734,51.795,40.595,29.088,50.802,0,0,1058,4
34.203,54.863,50.558,37.268,57.494,0,0,27.226,0,48.304,35.775,54.798,4.442,37.697,1058,4
42.817,54.58,44.424,37.063,69.923,5.432,43.585,44.735,77.886,46.624,39.951,61.379,4.737,44.707,1058,4
52.247,52.19,47.302,40.417,86.003,0,0,29.023,54.205,50.216,41.959,59.701,4.114,42.078,1058,4
29.13,49.944,42.833,24.776,62.64,0,0,18.904,26.641,44.058,26.251,53.529,3.745,32.433,1072,3
48.594,69.848,49.942,40.159,65.891,0,0,29.414,36.321,50.555,43.849,62.435,4.658,45.719,1058,4
17.78,27.774,37.352,29.717,35.074,0,0,0,0,35.881,27.39,34.496,0,0,1262,3
45.069,75.914,61.56,42.496,55.899,0,0,30.136,35.924,63.403,40.869,72.24,0,0,1058,4
19.519,0,34.37,0,0,0,0,20.471,18.14,38.277,0,0,0,0,1190,18
33.886,52.119,39.807,31.668,50.233,3.873,36.001,27.627,64.509,41.595,31.052,57.572,5.006,33.775,1072,3
17.655,0,61.037,7.174,48.745,4.306,12.582,15.406,10.565,65.169,7.866,46.583,4.531,13.988,1190,18
0,0,103.893,88.177,84.499,13.968,17.239,0,0,107.075,83.643,86.303,10.444,25.371,1268,4
34.449,59.802,46.751,31.618,58.912,4.725,37.313,25.421,63.759,52.426,30.435,68.968,5.848,34.49,1072,3
17.96,0,39.802,27.169,33.021,0,0,17.62,26.857,38.449,26.998,0,0,0,1190,18
20.934,31.095,44.407,30.239,47.981,4.166,29.503,21.468,37.235,42.267,31.353,41.377,3.877,32.706,1262,3
0,0,108.207,87.973,87.116,13.433,13.806,0,0,109.148,82.601,79.951,13.72,0,1268,4
39.332,67.913,50.221,44.704,51.44,4.785,41.328,22.012,39.384,58.359,33.066,85.123,7.452,31.933,1072,3
38.725,65.504,50.914,37.452,56.242,3.289,39.651,22.581,34.826,53.289,33.986,85.611,6.823,32.084,1072,3
0,0,107.316,91.495,80.135,12.802,0,0,0,113.224,0,0,0,0,1268,4
50.562,69.496,56.323,35.78,60.271,4.592,38.212,25.816,33.714,55.64,33.143,86.757,7.81,29.921,1072,3
0,0,105.403,89.616,88.069,11.738,0,0,0,106.346,0,0,0,0,1268,4
51.105,39.136,78.806,57.277,88.334,0,0,0,0,72.669,57.462,74.844,8.174,50.659,1058,4
33.932,0,58.58,36.712,63.838,0,0,28.094,41.827,58.929,35.233,70.251,7.11,41.505,1072,3
26.169,0,60.787,36.296,46.57,5.703,38.764,24.798,35.03,59.812,35.475,52.694,4.438,33.595,1262,3
50.597,34.868,77.779,58.781,84.153,0,0,66.861,0,81.772,60.036,72.023,4.753,50.846,1058,4
26.808,41.876,74.539,37.007,54.754,5.862,38.733,28.451,33.052,73.502,37.061,55.685,4.661,36.685,1262,3
0,0,111.099,83.092,79.478,8.218,22.943,85.646,0,108.935,86.724,75.996,11.803,0,1268,4
0,0,111.758,88.721,94.897,12.683,10.402,0,0,109.94,91.222,95.93,12.241,0,1268,4
55.187,84.209,62.357,44.693,103.902,0,0,30.989,50.242,55.54,51.306,64.976,4.831,56.574,1072,3
71.62,39.717,107.252,92.159,92.573,0,0,79.248,88,110.413,77.532,89.636,0,0,1058,4
61.802,88.219,69.471,44.215,114.804,8.848,47.38,35.55,47.271,62.409,43.759,79.454,5.61,53.147,1072,3
36.051,40.487,71.906,50.445,74.777,5.096,51.287,31.779,46.236,69.311,46.816,82.166,6.661,44.328,1262,3
61.448,92.028,70.753,53.591,58.301,0,0,38.117,48.056,72.441,51.961,60.877,8.944,56.035,1072,3
34.149,48.326,84.211,50.291,86.616,7.05,56.375,36.389,38.356,79.975,50.568,80.354,8.052,56.412,1262,3
54.315,89.001,64.178,54.395,55.64,6.382,51.372,39.402,42.784,64.323,47.589,58.019,6.569,49.071,1072,3
65.191,92.962,76.503,55.805,53.309,5.671,54.446,36.048,42.737,76.727,61.547,80.994,9.235,44.205,1072,3
68.594,98.665,74.269,70.797,60.282,6.851,63.902,34.473,65.946,78.398,70.174,105.425,10.466,49.01,1072,3
48.863,60.919,102.352,72.009,121.763,8.821,62.748,50.871,51.561,90.353,72.491,105.815,9.166,58.026,1262,3
51.211,59.611,104.662,69.487,108.964,7.114,64.547,50.048,59.66,94.963,71.264,101.243,9.699,54.109,1262,3
57.812,61.958,114.046,80.472,118.731,0,0,0,0,103.803,76.867,105.583,7.929,78.016,1262,3
68.218,0,93.505,84.164,76.95,12.556,0,92.866,0,103.86,80.253,84.67,9.585,0,1268,4
0,0,90.207,83.892,78.181,11.256,14.024,68.35,0,103.222,76.654,75.477,11.025,22.213,1268,4
20.607,44.374,50.501,38.469,58.152,0,0,12.855,39.67,50.086,0,0,0,0,1294,19
0,0,91.808,70.087,73.692,10.921,0,66.218,0,93.815,70.667,72.199,0,0,1268,4
68.766,0,95.465,72.899,79.562,6.571,0,81.869,0,95.297,72.667,78.211,10.131,0,1268,4
53.717,87.377,64.355,48.089,87.68,0,0,76.508,56.037,79.918,62.707,56.589,4.515,56.912,1294,19
16.266,0,27.075,20.527,28.101,3.422,0,13.514,13.358,26.594,0,0,3.47,0,837,14
13.052,0,23.729,16.338,18.807,0,0,13.612,10.105,22.743,16.35,17.729,0,0,837,14
14.894,17.516,26.36,20.889,22.119,2.602,5.417,13.689,15.438,26.758,20.43,22.045,2.85,0,837,14
0,0,27.22,22.737,27.275,0,0,0,0,26.302,19.238,0,0,0,837,14
18.21,19.207,33.91,25.673,26.883,3.529,4.909,15.6,0,34.324,25.558,27.186,3.813,0,837,14
0,0,36.594,24.361,32.395,3.709,17.117,17.676,0,36.239,24.495,31.572,3.723,18.436,837,14
22.012,0,41.405,30.235,31.125,5.292,9.948,17.891,24.448,41.802,33.769,30.464,4.492,4.353,837,14
0,0,74.817,62.672,63.53,7.769,0,54.736,0,75.991,60.605,64.898,9.854,0,1641,4
39.561,44.618,87.049,0,0,0,0,0,0,70.642,0,0,0,0,1591,20
0,0,77.663,64.503,69.832,8.993,0,0,0,76.837,63.123,71.111,5.235,0,1641,4
44.128,0,78.836,0,0,0,0,0,0,68.869,0,0,0,0,1591,20
43.979,60.811,85.046,0,0,0,0,0,0,71.316,0,0,0,0,1591,20
47.414,0,75.175,52.216,0,0,0,0,0,66.741,0,0,0,0,1591,20
0,0,84.196,63.642,0,0,0,0,0,84.027,0,0,0,0,1641,4
47.887,0,80.544,62.828,71.451,7.692,0,0,0,84.263,61.242,68.613,0,0,1641,4
0,0,75,56.048,61.039,7.855,0,45.414,0,76.463,53.618,60.017,0,0,1641,4
0,0,76.264,65.096,0,0,0,0,0,76.374,0,0,0,0,1641,4
47.983,41.355,97.96,65.379,66.028,13.442,52.211,0,0,84.181,0,0,0,0,1591,20
0,0,74.137,72.303,71.822,8.727,11.157,58.958,0,77.316,68.795,69.325,6.034,0,1641,4
0,0,73.454,63.575,73.341,8.752,0,44.244,0,77.962,64.54,72.124,11.732,0,1641,4
0,0,77.1,66.558,70.704,6.461,11.885,0,0,78.852,64.342,71.562,8.925,0,1641,4
0,0,80.081,66.5,67.422,7.048,0,0,0,81.507,0,0,0,0,1641,4
20.688,25.072,39.444,27.897,59.366,0,0,18.81,23.063,44.389,28.975,0,0,0,1632,21
0,0,79.921,66.744,59.895,12.001,0,0,0,83.557,63.817,0,0,0,1641,4
0,0,79.46,66.175,0,0,0,0,0,81.075,0,0,0,0,1641,4
52.974,0,77.798,65.842,63.901,7.78,9.988,0,0,77.814,65.119,62.755,5.896,6.657,1641,4
54.751,0,74.872,60.864,56.257,8.858,0,0,0,73.774,60.401,0,0,0,1641,4
45.173,0,72.924,66.545,65.271,7.184,6.592,0,0,77.705,66.466,65.293,4.546,0,1641,4
0,0,73.859,62.371,75.191,8.493,17.569,40.709,0,75.407,64.613,74.313,6.403,0,1641,4
27.318,32.429,55.403,35.092,74.946,0,0,26.858,33.171,63.252,34.548,68.362,0,0,1648,22
0,0,69.781,59.517,66.04,9.286,15.788,37.252,0,71.271,63.144,64.207,9.408,0,1641,4
26.558,0,60.815,38.135,70.028,0,0,26.748,0,71.572,32.402,0,0,0,1648,22
42.563,0,76.184,63.168,70.417,5.642,15.124,57.445,0,76.814,61.145,69.413,8.169,0,1641,4
19.156,0,37.122,28.144,25.814,4.53,4.914,22.731,0,39.068,28.156,26.931,3.854,0,1660,1
47.031,0,74.442,64.243,59.785,9.283,0,54.701,0,75.976,0,0,0,0,1641,4
32.376,28.819,59.125,48.989,79.625,5.815,37.234,29.446,29.678,68.283,44.377,90.966,8.401,29.954,1648,22
31.241,0,58.61,71.926,87.724,0,0,29.339,33.611,72.544,46.409,88.369,0,0,1648,22
29.979,39.379,65.416,60.533,94.704,7.212,43.746,31.798,35.79,65.078,90.139,90.895,7.006,44.302,1648,22
47.584,0,70.423,62.417,57.997,8.654,0,53.175,0,71.741,0,0,0,0,1641,4
20.304,20.614,42.981,28.524,50.082,3.805,28.057,21.43,20.589,40.935,28.984,43.621,0,0,1632,21
21.386,24.627,47.967,28.761,53.067,4.013,33.78,22.856,22.431,43.832,29.068,51.498,0,0,1632,21
33.008,51.922,85.946,49.473,91.735,7.861,49.733,36.91,43.23,84.095,48.1,79.137,6.827,58.121,1648,22
39.602,46.655,84.686,47.344,122.9,9.586,44.391,40.959,45.485,84.733,60.968,79.482,6.702,60.326,1648,22
40.007,39.408,81.632,45.242,107.493,0,0,40.696,41.458,80.583,65.209,78.88,7.692,53.766,1648,22
23.288,36.957,54.852,31.256,81.353,6.284,33.913,25.385,28.348,51.97,33.534,79.476,6.719,32.538,1632,21
46.154,41.452,89.416,53.769,99.38,0,0,47.053,40.468,84.851,62.013,63.696,6.265,55.221,1648,22
45.036,39.878,92.838,59.476,74.821,0,0,44.784,38.755,92.793,62.64,68.108,8.699,50.838,1648,22
48.676,42.553,106.282,64.005,71.771,0,0,45.379,0,115.482,65.37,73.004,9.53,50.511,1648,22
52.836,47.937,116.927,72.61,111.61,8.34,60.1,50.015,52.622,121.97,68.682,110.245,9.209,60.8,1648,22
24.202,38.051,64.468,41.907,69.518,4.734,49.9,31.685,0,64.773,51.399,105.145,8.98,39.103,1591,20
26.296,27.765,59.162,35.466,68.85,4.55,35.281,27.304,46.252,57.141,34.452,61.512,5.111,32.978,1591,20
