,Sho to Elb (L),Elb to Wrist (L), Sho to Hip (L),Hip to Knee (L),Knee to Ankle (L),Ankle to Heel (L), Heel to Foot (L),Sho to Elb (R),Elb to Wrist (R), Sho to Hip (R),Hip to Knee (R),Knee to Ankle (R),Ankle to Heel (R), Heel to Foot (R)
50,32.896,29.081,66.611,45.143,78.563,5.757,30.85,35.199,35.271,67.305,43.711,83.076,5.509,34.575
51,36.098,32.349,75.283,49.119,52.942,3.662,37.477,34.838,32.178,71.13,65.879,57.415,4.766,25.529
52,31.485,29.983,61.919,60.287,42.382,3.662,37.477,31.721,30.319,58.386,66.848,43.968,4.766,25.529
53,26.143,29.081,98.597,101.142,157.344,14.87,60.064,46.584,49.99,104.469,59.49,134.969,5.509,34.575
54,26.143,29.081,87.706,55.892,74.8305,5.757,30.85,48.088,49.038,108.583,59.796,121.235,5.509,34.575
55,45.501,47.964,90.096,75.478,69.403,3.662,37.477,51.996,45.284,85.937,37.878,57.415,4.766,25.529
56,50.672,53.235,115.195,84.099,79.557,3.662,37.477,63.5,27.4415,99.098,37.878,57.415,4.766,25.529
59,16.632,18.368,37.381,23.791,50.224,3.842,25.122,17.415,88.248,39.926,23.314,53.447,7.3225,48.0955
60,19.666,31.861,49.564,29.298,56.334,4.394,29.901,22.401,23.411,49.121,29.084,58.502,6.299,28.33
63,16.798,19.028,29.774,27.898,32.369,3.842,25.122,27.836,88.248,32.027,26.759,27.063,7.3225,48.0955
64,20.922,29.825,49.857,32.074,55.17,4.042,28.356,21.141,27.984,46.844,29.551,49.751,3.872,30.106
65,21.033,32.518,55.022,28.257,53.71,3.509,33.895,22.679,30.521,53.32,29.326,50.464,3.877,32.206
68,20.045,34.841,45.399,36.62,51.442,5.791,44.3175,19.218,50.349,45.619,42.6395,58.502,7.1015,38.461
69,21.938,25.779,45.88,32.113,53.922,5.791,44.3175,32.465,40.435,40.936,30.935,45.853,7.1015,38.461
71,22.867,29.614,48.879,34.76,56.334,5.791,44.3175,32.465,40.435,43.76,42.6395,58.502,7.1015,38.461
77,39.254,34.579,112.139,63.171,61.081,5.791,44.3175,43.108,40.435,92.737,42.6395,58.502,7.1015,38.461
78,41.191,38.109,102.396,80.246,66.953,7.188,54.74,42.251,40.435,88.036,54.344,71.435,7.904,44.716
83,51.736,50.29,145.313,92.844,80.821,10.504,66.585,55.762,63.762,123.048,60.357,122.562,13.279,45.772
84,52.871,64.679,169.276,145.039,114.541,13.02,84.851,60.489,74.519,142.02,70.534,164.934,17.078,59.15
85,79.474,84.39,210.65,127.311,56.334,5.791,44.3175,32.465,40.435,143.145,190.433,58.502,7.1015,38.461
90,28.345,23.041,47.033,35.661,42.589,3.842,25.122,27.836,27.217,48.911,35.977,42.827,4.345,36.353
91,21.088,25.301,42.963,37.406,52.298,3.842,25.122,23,88.248,42.817,30.043,53.447,7.3225,48.0955
96,37.605,51.586,41.471,30.796,43.009,4.338,37.901,27.078,50.884,44.118,34.133,56.955,4.321,33.815
97,32.88,58.79,45.753,31.439,57.402,4.597,39.067,25.822,64.688,49.076,31.104,66.072,5.208,35.375
98,40.398,67.887,44.824,46.463,46.036,3.893,43.141,22.203,50.884,51.941,33.397,74.355,6.765,33.961
99,38.735,63.223,51.372,39.933,59.419,3.974,40.203,22.652,37.134,54.504,32.17,96.646,8.526,30.405
100,50.622,67.542,54.644,35.697,56.467,4.367,37.735,25.271,33.109,52.709,33.475,79.741,7.173,29.091
101,48.371,59.596,66.101,38.57,73.494,7.312,50.653,26.228,43.168,67.397,37.675,74.035,6.727,43.998
102,91.197,46.514,98.477,102.418,181.872,3.842,25.122,74.767,88.248,101.65,81.587,117.26,10.3,59.838
104,66.719,41.654,108.32,91.387,91.257,3.842,25.122,79.165,88.746,112.935,75.735,89.397,7.3225,48.0955
106,69.229,113.199,73.327,64.641,66.847,7.113,68.697,35.733,90.489,75.917,66.232,106.373,9.186,53.42
107,87.455,132.741,109.045,80.729,139.436,10.036,80.807,39.84,50.884,106.289,63.286,181.066,17.847,59.069
108,84.207,128.019,99.986,76.634,116.413,10.109,73.782,58.97,64.363,91.111,85.525,159.245,14.545,56.143
109,100.509,112.808,128.157,75.175,92.194,9.077,84.531,39.84,50.884,110.329,55.723,84.613,7.616,50.579
111,47.994,90.675,66.825,52.735,112.092,9.523,47.762,65.951,47.476,88.555,51.726,71.572,4.754,60.096
113,53.778,36.11,79.959,70.193,63.248,7.766,14.028,38.3255,42.891,91.975,69.344,62.095,8.464,20.292
114,69.902,36.11,89.33,64.797,71.171,5.059,30.055,38.3255,42.891,88.593,59.126,60.991,5.7105,20.292
115,68.25,36.11,83.332,65.475,77.075,12.97,39.047,38.3255,42.891,85.563,66.864,70.383,9.952,19.702
116,37.853,36.11,85.362,62.836,65.496,11.86,25.522,38.3255,42.891,88.259,59.126,60.991,5.7105,20.292
117,37.853,36.11,79.933,61.304,60.615,2.939,15.284,38.3255,42.891,83.55,63.827,59.101,3.973,20.292
118,37.853,36.11,77.755,63.367,60.531,4.917,14.581,38.3255,42.891,82.709,59.454,59.888,5.7105,20.292
119,18.314,16.748,32.882,23.368,27.248,2.465,13.579,16.494,11.964,32.52,23.306,26.222,2.827,12.001
120,17.812,22.559,33.639,26.877,23.821,3.763,5.781,18.136,11.505,31.145,25.274,26.3985,3.847,8.19
121,19.915,16.748,33.482,25.741,23.079,3.926,3.727,19.213,11.505,30.491,26.393,23.583,3.597,4.589
122,37.853,36.11,80.977,62.094,60.377,11.956,25.664,38.3255,42.891,80.621,59.126,60.991,5.7105,20.292
123,42.411,46.291,87.666,65.054,61.863,8.427,19.293,38.3255,42.891,86.132,64.397,62.21,7.946,26.618
124,51.494,36.11,84.615,65.926,57.115,11.177,18.363,38.3255,42.891,81.818,66.707,56.394,13.99,16.687
125,46.397,36.11,82.182,67.784,61.022,4.213,17.637,56.796,42.891,82.468,67.031,64.61,3.278,22.475
126,37.853,36.11,85.398,62.802,67.34,8.675,16.609,38.3255,42.891,82.242,59.126,60.991,5.7105,20.292
127,37.853,36.11,87.581,65.492,67.216,8.612,36.761,38.3255,42.891,82.915,63.219,74.365,5.7105,20.292
128,37.853,36.11,86.838,67.275,64.895,6.551,15.969,38.3255,42.891,88.075,65.713,63.781,11.646,24.196
129,16.363,14.625,28.475,23.091,28.324,3.435,11.119,18.136,11.046,30.399,24.155,27.367,3.49,7.819
130,50.767,36.11,76.044,57.298,59.268,9.285,14.581,49.87,42.891,75.606,58.994,60.991,5.7105,20.292
131,54.304,36.11,80.881,68.406,69.937,7.52,11.826,61.042,42.891,81.718,64.974,71.845,6.605,17.342
132,37.853,36.11,71.928,61.186,70.948,7.582,14.581,38.3255,42.891,74.514,59.126,60.991,5.7105,20.292
133,37.853,36.11,74.924,59.317,61.863,7.52,14.581,38.3255,42.891,74.428,59.126,60.991,5.7105,20.292
134,37.853,36.11,86.462,66.282,63.34,5.971,14.581,45.646,42.891,86.592,66.154,67.138,4.114,20.292
135,37.853,36.11,77.139,65.89,59.297,11.363,10.523,38.3255,42.891,78.837,62.166,68.819,5.437,20.292
136,3.557,3.048,7.663,4.378,5.947,0.802,3.075,25.183,23.2275,6.969,32.7735,53.01,2.087,12.351
137,11.673,14.299,22.775,24.087,24.88,7.312,50.653,10.672,6.287,26.065,26.341,27.104,7.616,50.579
138,12.51,11.007,26.812,25.178,24.563,2.642,8.426,12.673,10.017,28.924,20.846,19.945,2.329,9.107
139,13.118,13.956,17.813,27.261,25.831,3.165,11.324,12.294,8.829,19.358,25.006,22.22,2.411,13.054
140,37.853,36.11,77.398,65.435,70.716,6.277,10.715,38.3255,42.891,78.053,63.661,69.069,8.825,20.292
141,37.853,36.11,80.949,63.956,68.86,6.182,14.581,38.3255,42.891,82.14,59.126,60.991,10.551,20.292
142,42.315,36.11,81.999,65.678,66.903,8.453,14.581,38.3255,42.891,84.897,65.176,60.991,5.7105,20.292
143,57.182,61.399,123.526,89.61,86.576,17.515,55.659,43.788,55.3505,114.645,71.93,86.169,9.9285,27.963
144,37.853,36.11,75.894,59.5715,61.863,7.52,14.581,38.3255,42.891,74.82,59.126,60.991,5.7105,20.292
145,37.853,36.11,68.109,58.083,53.612,7.713,14.581,38.3255,42.891,70.091,59.126,60.991,5.7105,20.292
146,16.181,59.596,27.451,39.398,49.852,5.096,50.653,16.047,19.939,30.397,38.139,44.788,4.173,16.684
147,53.982,36.11,76.328,63.599,66.32,6.615,5.655,38.3255,42.891,78.425,62.721,64.908,5.599,20.292
149,21.022,26.149,38.854,72.702,50.333,4.822,28.849,18.398,21.631,42.513,43.023,53.276,5.119,28.129
150,52,36.11,74.052,53.997,53.252,8.516,14.581,38.3255,42.891,72.853,55.23,60.991,5.7105,20.292
151,17.032,59.596,24.422,45.902,35.931,2.78,26.441,39.84,50.884,26.589,46.766,41.585,3.787,23.704
152,37.853,36.11,74.479,60.752,57.809,10.006,8.887,38.3255,42.891,78.104,60.454,59.164,2.906,20.292
154,53.549,36.11,70.374,57.35,56.505,7.667,9.847,49.481,42.891,73.7,57.12,53.951,8.66,20.292
155,20.054,16.748,40.015,29.32,26.691,4.418,4.332,18.136,11.505,39.272,27.934,26.575,4.249,7.448
156,23.931,22.103,57.728,32.25,92.194,7.312,50.653,23.594,27.735,65.594,55.723,84.613,7.616,50.579
157,44.335,36.11,73.486,69.543,67.39,11.358,6.187,38.3255,42.891,76.396,68.093,70.555,5.822,20.292
158,29.027,26.455,52.119,33.393,66.423,7.312,50.653,25.525,27.887,60.18,34.918,84.613,7.616,50.579
159,27.001,31.26,59.495,37.62,61.428,7.312,50.653,27.473,31.001,66.485,32.186,84.613,7.616,50.579
160,42.487,36.11,76.096,61.862,70.344,6.539,13.241,38.3255,42.891,78.333,60.399,66.869,9.847,19.786
161,29.855,26.396,55.666,52.891,73.583,5.587,36.545,29.267,27.83,62.25,48.125,92.408,10.27,24.873
162,47.572,36.11,79.162,64.808,61.864,3.833,12.756,60.395,42.891,77.767,60.046,61.524,5.7105,20.292
163,30.479,44.913,63.134,76.08,78.232,5.597,52.532,29.352,39.555,68.685,49.487,98.019,8.65,42.156
164,48.521,36.11,79.23,63.383,63.064,6.105,12.516,38.3255,42.891,81.285,60.822,60.991,5.7105,20.292
165,32.817,49.687,67.757,58.962,102.054,7.796,50.653,31.936,48.786,71.455,75.565,103.371,8.379,50.579
166,50.855,36.11,76.263,63.13,62.458,3.954,14.581,38.3255,42.891,79.032,59.126,60.991,5.7105,20.292
167,38.683,31.808,66.666,55.435,102.2,8.868,48.5,33.853,37.036,72.737,51.008,93.913,7.616,51.005
168,38.41,44.152,79.113,48.194,96.731,6.833,53.917,36.741,44.829,81.388,48.294,84.613,6.624,59.15
169,33.165,56.52,84.907,50.743,94.916,7.925,52.574,38.996,43.578,80.904,48.124,84.789,6.745,58.679
170,37.853,36.11,72.18,57.087,61.863,7.52,14.581,28.155,42.891,77.591,59.126,60.991,5.7105,20.292
171,20.197,24.025,45.4,28.712,41.831,3.165,31.621,23.501,20.266,41.506,30.987,42.067,2.087,12.351
172,38.394,43.621,80.715,48.754,97.141,7.129,42.447,40.765,42.806,79.518,55.723,66.656,5.71,53.98
173,37.194,40.136,80.394,43.524,99.553,7.312,50.653,39.383,41.166,78.408,65.917,72.364,8.401,51.537
174,47.404,48.685,111.015,61.118,114.527,7.495,54.893,50.744,49.955,106.884,60.402,76.738,6.176,64.631
175,19.733,27.809,44.073,51.237,45.522,9.988,16.331,22.002,24.502,44.779,51.625,43.394,4.209,26.967
176,44.619,39.982,90.707,59.035,70.803,7.312,50.653,44.905,40.764,95.77,62.201,66.295,10.807,48.19
177,49.646,45.785,105.645,64.027,82.181,8.35,62.536,46.419,50.884,111.821,63.968,77.991,9.548,54.966
178,28.54,24.626,53.421,55.147,57.046,7.704,53.406,23.788,25.001,57.159,46.888,53.711,3.692,32.528
179,30.025,46.118,58.753,40.839,84.372,5.785,46.961,25.161,45.341,57.554,39.394,97.089,7.725,40.893
180,30.631,27.576,55.681,48.551,70.727,7.704,53.406,24.576,26.034,57.314,46.839,75.279,9.9285,27.963
181,27.012,52.18,70.136,47.466,93.523,6.213,53.178,30.605,38.486,69.129,51.379,92.679,7.956,23.879
182,82.988,87.842,138.089,109.612,114.024,14.844,17.5,66.73,64.673,136.332,105.734,65.926,8.581,20.798
183,33.487,44.803,77.749,46.254,80.241,5.854,53.986,32.805,41.123,73.986,48.095,76.838,7.956,23.879
184,36.684,43.09,80.375,45.839,90.194,6.564,51.502,34.826,38.743,80.329,45.659,82.534,9.9285,27.963
185,84.549,86.752,141.562,104.288,110.042,20.198,17.5,63.847,64.673,138.896,106.547,102.751,19.028,20.798
186,32.257,53.745,74.091,44.843,97.053,6.557,53.406,33.207,48.521,70.555,44.984,82.484,9.9285,27.963
187,74.998,73.778,127.871,103.698,99.823,15.626,36.146,65.096,64.673,127.821,102.523,106.677,17.675,20.798
188,29.465,53.029,65.352,78.559,73.079,5.688,52.422,32.386,52.637,60.987,77.211,68.368,9.9285,27.963
189,72.781,81.932,120.874,101.577,110.652,8.823,42.782,60.16,67.691,116.672,103.163,105.635,11.443,27.817
190,41.951,46.099,85.783,52.035,128.915,9.847,53.538,41.424,45.585,81.215,52.984,108.108,8.971,58.29
191,71.639,75.156,122.277,102.173,117.416,20.553,44.512,65.838,60.228,121.774,83.718,85.574,10.494,27.817
192,42.659,53.546,83.193,58.848,104.094,9.988,16.331,38.927,52.933,81.843,55.445,97.094,7.956,23.879
193,66.2,69.171,117.767,105.238,115.186,18.561,35.854,65.716,67.855,122.625,65.663,65.926,8.581,20.798
194,64.254,73.344,113.026,106.289,113.939,11.182,42.782,66.834,75.154,115.341,83.718,85.574,10.9685,27.817
195,43.578,47.067,86.983,61.401,94.564,7.704,53.406,36.157,55.3505,85.923,58.199,89.804,9.9285,27.963
196,61.944,75.187,104.89,100.019,65.805,10.053,17.5,63.691,76.389,104.852,65.663,65.926,8.581,20.798
197,49.912,54.114,107.211,65.811,128.51,9.563,66.77,43.788,55.3505,99.459,63.331,132.865,9.9285,27.963
198,58.671,66.631,107.725,92.204,65.805,10.053,17.5,61.852,75.403,111.438,65.663,65.926,8.581,20.798
199,48.69,74.475,97.21,74.831,127.144,7.704,53.406,52.708,111.839,99.123,69.576,127.14,9.9285,27.963
200,61.941,69.582,116.772,96.138,109.334,11.456,13.652,59.155,73.387,116.529,65.663,65.926,8.581,20.798
201,52.819,80.694,106.575,80.174,137.14,9.573,74.525,58.631,118.112,105.752,72.684,174.255,9.9285,27.963
202,62.523,60.934,114.095,80.53,81.279,8.456,24.668,58.508,77.397,109.409,78.683,79.6,10.49,30.771
203,54.423,80.53,111.618,81.631,137.32,10.903,69.591,47.479,84.503,108.913,79.147,194.699,7.956,23.879
204,55.654,71.162,113.175,83.488,136.369,11.059,63.514,49.471,91.64,109.546,77.961,193.024,9.9285,27.963
205,63.152,67.37,120.193,86.195,75.234,7.405,27.15,60.715,88.476,107.87,92.437,76.571,12.944,29.875
206,60.447,80.267,126.214,97.425,167.515,12.664,80.527,64.089,69.337,119.883,91.799,194.883,7.956,23.879
207,60.309,83.908,127.937,92.397,211.168,16.923,78.328,63.383,78.793,122.825,94.087,201.18,18.151,72.148
208,67.696,68.508,111.484,93.121,96.111,13.303,19.013,55.679,64.673,109.741,96.425,100.879,10.807,30.173
209,65.426,85.796,128.634,95.867,182.209,7.704,53.406,65.694,103.661,122.69,162.06,135.583,12.294,102.125
210,63.67,70.839,112.428,91.879,87.39,12.941,25.355,49.672,64.673,112.382,89.587,94.873,9.782,34.107
211,63.513,70.625,107.662,89.365,84.831,12.62,42.782,58.954,67.691,112.636,83.718,85.574,16.867,27.817
212,73.03,79.512,153.641,116.864,76.4215,7.704,53.406,92.654,55.3505,140.091,107.31,177.926,9.9285,27.963
213,60.542,64.533,106.306,92.379,69.891,12.147,17.5,49.672,64.673,103.009,78.818,85.028,7.766,32.542
214,61.2,62.604,110.205,89.338,71.676,9.744,13.773,62.999,67.691,103.419,82.073,79.344,6.666,27.817
215,68.639,51.959,100.258,83.848,82.273,8.886,17.5,52.893,64.673,99.308,85.361,81.064,13.277,20.798
216,89,69.3,181.479,128.116,237.621,7.704,53.406,43.788,55.3505,165.499,123.866,86.169,9.9285,27.963
217,58.955,66.355,97.584,82.741,80.521,9.101,21.712,55.38,64.673,98.722,77.554,77.612,8.631,20.404
218,54.152,62.191,90.476,81.983,87.751,4.377,16.331,51.984,50.8215,88.432,84.841,83.157,6.96,23.879
219,58.386,63.234,101.309,84.372,78.004,9.143,17.5,60.012,64.673,97.89,84.785,77.425,12.49,20.798
220,60.519,64.689,106.271,92.691,90.867,10.22,14.316,58.188,50.8215,101.239,91.598,94.531,13.728,20.68
221,61.102,66.302,109.067,92.299,92.585,7.368,15.319,63.212,64.673,104.595,92.15,96.98,15.18,20.798
222,59.384,58.748,93.951,84.218,99.283,12.247,17.5,48.662,64.673,84.241,81.121,99.342,12.983,20.798
223,42.478,25.932,70.001,62.491,55.982,6.579,10.27,38.3255,42.891,71.214,61.63,56.203,9.581,15.954
224,58.304,65.849,84.404,101.568,76.934,9.988,16.331,54.849,75.919,79.069,102.038,121.073,15.465,23.879
225,37.948,34.899,71.422,64.701,66.822,7.159,16.604,41.326,42.891,71.655,64.729,67.101,5.444,20.292
226,56.227,52.18,97.465,70.207,73.263,11.503,16.331,46.468,50.8215,94.169,71.04,80.956,7.956,23.879
227,53.73,50.96,94.485,73.191,79.566,9.595,16.414,48.783,50.8215,89.328,76.131,81.635,8.187,28.457
228,53.258,49.534,89.303,71.006,71.546,10.371,16.331,51.284,50.8215,90.859,72.075,80.956,4.524,23.879
229,37.853,36.11,60.668,50.094,61.863,7.52,14.581,38.3255,42.891,61.906,59.126,60.991,5.7105,20.292
230,51.327,52.263,92.074,85.675,70.788,11.523,10.623,66.231,50.8215,88.22,71.421,78.81,6.583,23.977
231,37.853,36.11,66.679,54.041,61.863,7.52,14.581,38.3255,42.891,65.9,59.126,60.991,5.7105,20.292
232,48.357,52.097,87.455,75.628,66.116,9.988,9.883,56.193,50.8215,85.963,68.274,69.534,14.193,23.879
233,45.958,50.848,96.299,67.299,68.966,9.123,20.113,47.465,55.3505,91.295,71.93,67.952,13.08,23.398
234,44.283,57.958,85.954,68.285,69.997,7.243,17.94,47.56,55.3505,83.256,73.583,69.579,8.259,12.75
235,44.156,58.119,88.267,66.917,74.011,7.704,14.599,42.948,64.095,85.062,78.783,78.725,11.598,14.955
236,46.927,71.909,89.054,78.32,78.908,11.043,19.135,47.494,64.673,88.193,85.867,90.468,12.453,18.575
237,36.122,36.11,69.676,57.272,61.308,5.404,12.967,38.3255,42.891,71.323,58.627,60.513,4.223,20.34
238,45.302,66.754,86.414,70.516,76.934,7.407,9.438,44.451,65.697,83.826,80.112,80.739,10.052,12.525
239,46.354,72.022,84.866,65.973,75.417,6.913,17.734,44.499,63.938,80.056,80.539,78.184,10.483,16.117
240,36.387,36.11,68.072,60.163,63.956,11.044,15.474,38.3255,42.891,71.654,61.814,62.058,11.067,20.459
241,40.593,48.881,76.949,60.941,64.074,11.061,16.331,38.918,50.986,76.681,60.886,63.4,6.399,23.879
242,37.853,36.11,63.523,59.242,64.233,6.351,9.295,38.3255,42.891,63.847,58.276,60.991,8.511,20.292
243,37.46,36.11,69.164,59.577,57.416,9.602,11.57,38.3255,42.891,70.948,57.997,59.48,3.199,20.292
244,37.853,36.11,66.94,57.038,53.261,3.351,12.159,38.3255,42.891,71.168,57.589,50.528,3.484,20.292
245,42.601,52.18,83.511,64.092,66.816,11.556,8.89,42.844,50.657,80.669,72.125,65.573,10.96,11.805
246,37.945,36.11,68.602,59.428,63.748,7.579,12.779,38.3255,42.891,71.349,59.766,66.554,6.306,20.292
247,43.635,52.18,77.637,65.022,73.411,10.745,15.336,41.28,50.8215,75.432,71.04,71.073,9.58,19.121
248,37.488,30.745,67.556,60.604,64.053,7.923,14.387,38.3255,42.891,71.221,58.513,65.102,5.2,21.526
249,42.76,47.652,73.851,61.164,58.549,9.232,16.331,50.659,50.8215,73.802,61.239,66.126,7.234,23.781
250,38.949,36.11,68.823,64.85,74.602,7.256,16.207,38.3255,42.891,70.603,64.167,74.111,8.576,23.101
251,41.61,54.326,73.025,60.705,60.608,8.758,11.335,53.509,50.8215,74.893,59.101,66.569,7.427,23.879
252,42.819,66.3285,73.748,60.803,63.321,9.804,15.024,45.792,64.673,75.292,61.298,67.574,9.715,20.798
253,37.853,36.11,71.055,55.712,66.646,8.243,14.581,38.3255,42.891,71.295,59.126,60.991,5.7105,20.292
254,40.969,66.3285,75.508,65.514,64.443,8.056,11.939,46.188,64.673,75.892,66.321,67.296,7.796,17.6
255,37.853,36.11,72.892,60.455,63.274,5.555,14.581,38.3255,42.891,75.705,59.126,60.991,5.7105,20.292
256,36.622,36.11,68.23,59.069,61.863,7.52,14.581,35.491,42.891,71.661,59.126,60.991,5.7105,20.292
257,37.569,36.11,71.991,61.257,57.546,9.235,15.621,53.923,42.891,75.063,55.872,56.726,10.593,20.292
258,38.603,45.316,66.587,56.995,57.734,7.47,14.718,39.488,55.508,67.934,63.422,58.06,8.581,13.254
259,39.375,36.11,74.247,58.301,54.532,7.869,13.56,38.3255,42.891,74.743,53.28,54.611,6.718,20.292
260,36.882,47.881,64.086,53.121,69.714,7.915,19.37,37.934,47.141,66.395,59.508,65.358,9.197,17.826
261,37.853,37.866,74.68,52.594,57.602,8.14,11.584,54.487,42.891,73.47,56.528,55.554,7.047,17.591
262,36.317,53.563,73.338,56.243,64.338,11.989,18.657,38.821,42.891,75.954,57.946,61.897,2.708,19.457
263,36.724,66.3285,65.378,55.025,55.975,6.15,17.5,35.689,64.673,67.136,54.893,65.926,8.581,20.798
264,34.997,50.32,73.423,55.77,62.465,8.658,19.001,38.3255,42.891,76.953,59.688,60.399,3.206,20.292
265,35.712,66.3285,69.599,66.716,65.805,10.053,17.5,35.3,64.673,66.558,65.663,65.926,8.581,20.798
266,35.98,52.591,70.103,59.234,57.858,7.312,14.775,38.3255,42.891,80.249,61.163,58.116,3.19,20.292
267,36.173,66.3285,72.226,53.233,49.459,10.03,8.858,34.668,64.673,73.936,57.077,50.439,9.205,14.978
